OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev,gcode,point,lat,lon
116,"SPECIALISTS IN REPRODUCTIVE MEDICINE & SURGERY, PA","EMBRYO DONATION INTERNATIONAL, PL",FORT MYERS,FLORIDA,"Craig R. Sweet, MD",28,14,9,7,0.5,* / 14,9-May,* / 7,0.393,* / 14,* / 9,* / 7,25,12,7,*,56.00%,* / 12,7-May,* / *,44.00%,* / 12,* / 7,* / *,29,15,7,*,48.30%,* / 15,7-May,* / *,37.90%,* / 15,* / 7,* / *,2,3.5,1.8,7,52.20%,* / 9,* / 5,0 / *,52.20%,* / 9,* / 5,0 / *,52.20%,* / 9,* / 5,0 / *,1.1,1.1,1.4,1.7,1.1,1.1,0.7,0.6,*,*,9,26,* / *,* / *,* / 9,61.50%,* / *,0 / *,* / 9,26.90%,64,31,22,30,147,2.90%,* / 18,* / 14,* / 10,7.90%,9.50%,0.00%,14.30%,7.10%,7.80%,1.60%,0.00%,0.00%,0.00%,0.70%,0.00%,4.20%,0 / 16,0.00%,1.00%,70.70%,54.20%,16-Jul,78.30%,64.40%,0.756,79.20%,16-Dec,43.50%,69.20%,0.146,8.30%,* / 16,17.40%,12.50%,12%,22%,16%,0.16,2%,3%,0%,0.29,18%,4%,33%,7%,3%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL,"Fort Myers, Lee County, Florida, United States","(26.640628, -81.8723084, 0.0)",26.640628,-81.8723084
117,UF HEALTH REPRODUCTIVE MEDICINE AT SPRINGHILL,,GAINESVILLE,FLORIDA,"Alice S. Rhoton-Vlasak, MD",15,15,13,*,15-Jul,15-Aug,* / 13,0 / *,15-Jun,15-Aug,0 / 13,0 / *,15,14,12,*,15-Jul,14-Aug,* / 12,0 / *,15-Jun,14-Aug,0 / 12,0 / *,20,14,9,*,35.00%,14-Aug,* / 9,0 / *,30.00%,14-Aug,0 / 9,0 / *,2.1,1.9,4.3,,14-Jul,6-May,* / 9,0 / *,14-Jul,6-May,* / 9,0 / *,14-Jul,6-May,* / 9,0 / *,1,1,1.1,1,1.4,1,0.6,0,0,7,*,0,,7-May,* / *,,,7-May,* / *,,43,27,30,17,117,4.30%,* / 13,* / 19,0 / 6,6.60%,23.80%,0.00%,10.70%,* / 17,14.20%,9.30%,3.70%,6.70%,0 / 17,6.00%,0.00%,0 / 16,0 / 15,0 / 12,0.00%,64.00%,16-Dec,15-Sep,* / 12,60.30%,0.56,16-Dec,13 / 15,12-Aug,69.10%,0,16-Jul,15-May,0 / 12,17.60%,36%,11%,11%,0.26,2%,6%,0%,0.29,25%,12%,8%,1%,9%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL,"Gainesville, Alachua County, Florida, United States","(29.6519684, -82.3249846, 0.0)",29.6519684,-82.3249846
118,ASSISTED FERTILITY PROGRAM,,JACKSONVILLE,FLORIDA,"Marwan M. Shaykh, MD",24,16,14,*,0.375,16-May,14-May,0 / *,0.333,16-May,14-May,0 / *,24,15,13,*,37.50%,15-May,13-May,0 / *,33.30%,15-May,13-May,0 / *,25,15,14,*,36.00%,15-May,14-May,0 / *,32.00%,15-May,14-May,0 / *,2.7,3.2,2.8,,14-Jun,* / 10,* / 11,0 / *,14-Jul,* / 10,11-May,0 / *,14-Jul,* / 10,11-May,0 / *,1.1,1.2,1.1,1,1,1,1,1,8,0,10,5,* / 8,,* / 10,* / 5,* / 8,,* / 10,* / 5,46,24,16,21,107,0.00%,* / 13,0 / 13,0 / 10,3.30%,6.50%,4.50%,* / 16,14.30%,8.60%,0.00%,0.00%,0 / 16,0.00%,0.00%,0.00%,* / 19,0 / 10,0 / 17,1.20%,60.00%,19-Nov,* / 10,17-Nov,56.80%,0.6,13 / 19,* / 10,17-Oct,59.30%,0.229,19-May,0 / 10,17-May,22.20%,30%,3%,20%,0.12,1%,15%,1%,0.36,12%,3%,7%,2%,6%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,FL,"Jacksonville, Duval County, Florida, United States","(30.3321838, -81.655651, 0.0)",30.3321838,-81.655651
119,BROWN FERTILITY,,JACKSONVILLE,FLORIDA,"Samuel E. Brown, MD",152,68,54,29,0.526,33.80%,24.10%,6.90%,0.447,26.50%,22.20%,6.90%,150,68,54,29,53.30%,33.80%,24.10%,6.90%,45.30%,26.50%,22.20%,6.90%,190,86,65,31,42.10%,26.70%,20.00%,6.50%,35.80%,20.90%,18.50%,6.50%,1.9,3,4.2,14.5,56.40%,40.90%,22.70%,* / 11,56.40%,45.50%,22.70%,* / 11,56.40%,45.50%,22.70%,* / 11,1,1,1.1,1.1,1.4,1.3,1.3,1.2,29,*,48,36,31.00%,* / *,37.50%,52.80%,31.00%,* / *,18.80%,44.40%,292,169,153,143,757,3.10%,2.30%,4.10%,7.40%,3.80%,6.30%,2.40%,6.70%,2.90%,4.90%,0.70%,1.80%,0.00%,0.00%,0.70%,0.40%,2.10%,1.60%,9.20%,2.70%,53.10%,55.50%,60.60%,60.80%,56.60%,1,99.30%,99.20%,100.00%,99.70%,0.07,6.80%,12.60%,12.50%,9.10%,18%,11%,10%,0.08,1%,2%,1%,0.33,10%,4%,24%,2%,6%,Yes,Yes,Yes,Yes,Yes,No,No,0,FL,"Jacksonville, Duval County, Florida, United States","(30.3321838, -81.655651, 0.0)",30.3321838,-81.655651
120,FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,"Kevin L. Winslow, MD",234,84,86,41,0.513,33.30%,20.90%,4.90%,0.466,28.60%,20.90%,4.90%,222,81,81,31,54.10%,34.60%,22.20%,6.50%,49.10%,29.60%,22.20%,6.50%,242,85,47,15,49.60%,32.90%,38.30%,* / 15,45.00%,28.20%,38.30%,* / 15,2,3,4.8,20.5,53.20%,33.30%,23.10%,4.50%,59.00%,38.60%,25.00%,4.50%,59.50%,38.60%,26.90%,4.50%,1.1,1.2,1.3,1.4,1.1,1,0.5,0.4,*,30,55,61,* / *,36.70%,32.70%,26.20%,* / *,23.30%,32.70%,21.30%,613,292,226,176,1307,8.00%,5.60%,8.60%,7.30%,7.50%,12.60%,12.60%,16.10%,22.00%,14.50%,2.30%,3.10%,1.80%,0.00%,2.10%,1.30%,0.70%,3.40%,0.90%,1.40%,97.50%,96.00%,88.20%,78.60%,92.50%,0.877,87.90%,88.20%,73.20%,85.50%,0.408,53.00%,47.90%,25.90%,42.20%,33%,9%,13%,0.13,2%,3%,1%,0.25,37%,3%,13%,2%,21%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,FL,"Jacksonville, Duval County, Florida, United States","(30.3321838, -81.655651, 0.0)",30.3321838,-81.655651
121,JACKSONVILLE CENTER FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,"Michael D. Fox, MD",61,61,34,42,0.361,18.00%,5.90%,11.90%,0.311,14.80%,5.90%,9.50%,59,54,30,33,37.30%,20.40%,6.70%,15.20%,32.20%,16.70%,6.70%,12.10%,60,32,14,21,36.70%,34.40%,* / 14,23.80%,31.70%,28.10%,* / 14,19.00%,2.8,5.5,17,8.4,34.90%,18.50%,0 / 19,10.00%,39.50%,22.20%,* / 19,25.00%,39.50%,22.20%,* / 19,25.00%,1.2,1.2,1.4,1.5,1,0.6,0.4,0.5,*,6,9,0,* / *,* / 6,* / 9,,* / *,* / 6,* / 9,,149,60,59,59,327,10.30%,12.80%,20.00%,20.00%,14.10%,11.30%,1.80%,11.50%,25.90%,12.30%,3.40%,5.00%,5.10%,0.00%,3.40%,0.00%,0.00%,0.00%,0.00%,0.00%,76.70%,71.40%,79.20%,73.50%,75.60%,0.337,17.90%,37.50%,38.20%,32.60%,0.128,17.90%,29.20%,14.70%,16.30%,16%,38%,13%,0.17,6%,0%,0%,0.29,30%,6%,19%,0%,<1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL,"Jacksonville, Duval County, Florida, United States","(30.3321838, -81.655651, 0.0)",30.3321838,-81.655651
122,"REPRODUCTIVE MEDICINE ASSOCIATES OF FLORIDA, LLC",,LAKE MARY,FLORIDA,"George Patounakis, MD, PhD",7,6,7,*,* / 7,* / 6,* / 7,* / *,* / 7,* / 6,* / 7,* / *,7,5,7,*,* / 7,* / 5,* / 7,* / *,* / 7,* / 5,* / 7,* / *,7,5,*,*,* / 7,* / 5,* / *,* / *,* / 7,* / 5,* / *,* / *,1.8,2,3.5,4,* / 5,* / *,* / 5,* / *,* / 5,* / *,* / 5,* / *,* / 5,* / *,* / 5,* / *,1.2,1,1.4,1,1,1.3,0.6,1,0,0,*,0,,,0 / *,,,,0 / *,,43,23,27,10,103,3.80%,* / 12,0 / 15,* / 5,6.90%,9.50%,4.50%,3.70%,* / 8,8.10%,4.70%,4.30%,3.70%,0 / 10,3.90%,0 / 17,* / 11,* / 12,0 / *,4.50%,17 / 17,11-Nov,12-Dec,* / *,100.00%,17 / 17,11-Nov,12-Dec,* / *,93.20%,15 / 17,11-Nov,12-Dec,* / *,95.50%,36%,20%,15%,0.14,4%,11%,0%,0.15,56%,12%,15%,8%,3%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL,"Lake Mary, Seminole County, Florida, United States","(28.756618000000003, -81.33888382214167, 0.0)",28.756618,-81.33888382
123,IVF FLORIDA REPRODUCTIVE ASSOCIATES,,MARGATE,FLORIDA,"David I. Hoffman, MD",271,209,215,194,0.531,38.30%,22.80%,10.80%,0.531,37.80%,22.80%,10.30%,248,184,193,146,58.10%,43.50%,25.40%,14.40%,58.10%,42.90%,25.40%,13.70%,278,156,120,52,51.80%,51.30%,40.80%,40.40%,51.80%,50.60%,40.80%,38.50%,1.9,2.6,4.4,9.2,56.90%,43.10%,23.10%,10.00%,64.60%,52.80%,29.80%,14.00%,65.10%,55.30%,31.70%,14.00%,1.2,1.3,1.4,1.4,1,0.8,0.6,0.2,0,5,132,0,,* / 5,53.80%,,,* / 5,53.80%,,652,442,379,447,1920,8.10%,11.30%,16.00%,21.20%,13.50%,24.30%,17.30%,16.50%,29.80%,22.40%,3.70%,5.00%,4.70%,0.90%,3.50%,3.60%,4.70%,7.80%,7.80%,5.50%,99.30%,98.10%,100.00%,97.20%,98.70%,0.584,52.30%,60.10%,30.70%,51.40%,0.442,49.50%,58.80%,35.20%,46.30%,25%,6%,13%,0.14,6%,26%,2%,0.34,28%,2%,62%,2%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL,"Margate, Broward County, Florida, 33063, United States","(26.2445263, -80.206436, 0.0)",26.2445263,-80.206436
124,VIERA FERTILITY CENTER,,MELBOURNE,FLORIDA,"Diran J. Chamoun, MD",41,21,15,8,0.537,42.90%,15-Jun,0 / 8,0.488,33.30%,15-Jun,0 / 8,40,19,14,7,55.00%,19-Sep,14-Jun,0 / 7,50.00%,19-Jul,14-Jun,0 / 7,45,18,11,7,48.90%,18-Sep,11-Jun,0 / 7,44.40%,18-Jul,11-Jun,0 / 7,1.9,2.3,2.5,,53.10%,14-Jun,* / 8,0 / *,53.10%,14-Jul,* / 8,0 / *,56.30%,14-Jul,* / 8,0 / *,1.1,1.3,1.1,1,1.1,0.8,0.6,0,0,5,8,*,,* / 5,* / 8,0 / *,,* / 5,* / 8,0 / *,54,36,48,19,157,0.00%,* / 19,4.30%,* / 8,11.00%,13.00%,6.30%,8.50%,* / 16,10.10%,1.90%,2.80%,4.20%,0 / 19,2.50%,2.90%,0 / 18,0.00%,0 / 11,1.10%,79.40%,15 / 18,80.80%,11-Sep,80.90%,1,15 / 18,84.60%,11-Jul,87.60%,0.559,18-Oct,53.80%,* / 11,50.60%,40%,9%,15%,0.36,17%,17%,1%,0.35,35%,17%,47%,4%,0%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL,"Melbourne, Brevard County, Florida, United States","(28.106471, -80.6371513, 0.0)",28.106471,-80.6371513
125,"FERTILITY & IVF CENTER OF MIAMI, INC.",,MIAMI,FLORIDA,"Michael H. Jacobs, MD",57,49,68,53,0.544,32.70%,20.60%,5.70%,0.474,30.60%,20.60%,5.70%,55,45,63,47,56.40%,35.60%,22.20%,6.40%,49.10%,33.30%,22.20%,6.40%,54,38,27,10,57.40%,42.10%,51.90%,* / 10,50.00%,39.50%,51.90%,* / 10,1.8,3.1,4.9,17.7,59.50%,33.30%,16.70%,3.60%,64.90%,33.30%,20.80%,7.10%,64.90%,33.30%,29.20%,7.10%,1.2,1.1,1.6,1.3,0.9,0.9,0.4,0.2,0,*,82,*,,* / *,51.20%,0 / *,,* / *,48.80%,0 / *,157,108,148,198,611,4.10%,4.70%,8.30%,11.70%,7.70%,5.20%,10.50%,19.90%,19.90%,14.30%,4.50%,13.90%,8.10%,2.00%,6.20%,4.70%,6.80%,22.60%,37.90%,19.90%,92.90%,97.70%,98.40%,95.80%,95.80%,0.906,88.60%,87.10%,77.90%,85.30%,0.894,79.50%,87.10%,86.30%,86.40%,43%,4%,15%,0.11,10%,70%,8%,0.35,45%,11%,84%,47%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL,"Miami, Miami-Dade County, Florida, United States","(25.7741728, -80.19362, 0.0)",25.7741728,-80.19362
126,UNIVERSITY OF MIAMI INFERTILITY CENTER,,MIAMI,FLORIDA,"George R. Attia, MD",56,37,39,25,0.429,43.20%,25.60%,8.00%,0.25,29.70%,20.50%,8.00%,55,35,35,23,43.60%,45.70%,28.60%,8.70%,25.50%,31.40%,22.90%,8.70%,52,32,29,17,46.20%,50.00%,34.50%,* / 17,26.90%,34.40%,27.60%,* / 17,2.3,2.3,3.9,12.5,44.90%,44.40%,29.00%,10.00%,46.90%,48.10%,29.00%,10.00%,46.90%,48.10%,29.00%,10.00%,1.1,1.1,1.1,1,0.9,0.9,0.7,0.7,0,0,12,0,,,12-May,,,,12-May,,164,79,61,53,357,2.40%,8.50%,0.00%,13.30%,5.10%,5.60%,8.00%,14.80%,20.40%,9.80%,6.10%,5.10%,9.80%,1.90%,5.90%,1.10%,0.00%,3.00%,3.20%,1.50%,86.50%,68.20%,63.60%,54.80%,73.60%,0.989,95.50%,93.90%,58.10%,90.90%,0.562,47.70%,36.40%,25.80%,46.20%,28%,1%,25%,0.04,1%,3%,0%,0.27,33%,1%,20%,5%,9%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL,"Miami, Miami-Dade County, Florida, United States","(25.7741728, -80.19362, 0.0)",25.7741728,-80.19362
127,"NEW LEADERS IN FERTILITY & ENDOCRINOLOGY, LLC",,PENSACOLA,FLORIDA,"Barry A. Ripps, MD",100,32,21,14,0.52,34.40%,28.60%,* / 14,0.5,34.40%,28.60%,* / 14,93,29,19,11,55.90%,37.90%,19-Jun,* / 11,53.80%,37.90%,19-Jun,* / 11,111,30,18,8,46.80%,36.70%,18-Jun,* / 8,45.00%,36.70%,18-Jun,* / 8,1.9,2.9,3.5,14,55.10%,18-Jun,* / 13,* / 11,60.30%,18-Jul,* / 13,* / 11,60.30%,18-Jul,* / 13,* / 11,1.1,1.3,1.1,1.1,1.1,1,0.9,0.5,0,10,7,*,,* / 10,* / 7,* / *,,* / 10,* / 7,* / *,180,62,31,27,300,6.70%,11.80%,0 / 11,* / 6,8.50%,9.20%,8.60%,12.90%,0.00%,8.70%,0.00%,1.60%,0.00%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,56.80%,52.10%,65.40%,52.00%,56.30%,0.98,100.00%,88.50%,68.00%,94.30%,0.101,16.70%,15.40%,4.00%,11.30%,34%,13%,16%,0.13,0%,5%,0%,0.23,6%,6%,5%,0%,11%,No,No,Yes,Yes,No,Yes,Yes,0,FL,"Pensacola, Escambia County, Florida, United States","(30.421309, -87.2169149, 0.0)",30.421309,-87.2169149
128,FERTILITY & GENETICS,,PLANTATION,FLORIDA,"Mick Abaé, MD",18,16,13,9,18-Oct,* / 16,13-May,* / 9,18-Aug,* / 16,13-May,* / 9,18,15,13,9,18-Oct,* / 15,13-May,* / 9,18-Aug,* / 15,13-May,* / 9,20,8,10,6,50.00%,* / 8,10-May,* / 6,40.00%,* / 8,10-May,* / 6,1.8,8,2.6,4.5,15-Sep,* / 7,* / *,0 / *,15-Sep,* / 7,* / *,0 / *,15-Sep,* / 7,* / *,0 / *,1.1,1,1,1.3,1.1,0.4,0.8,0.6,*,*,18,0,* / *,* / *,18-Nov,,* / *,* / *,18-Nov,,10,32,20,42,104,0 / *,0 / 13,0 / 8,0 / 12,0.00%,* / 10,40.60%,40.00%,26.20%,32.70%,0 / 10,0.00%,0.00%,0.00%,0.00%,0 / 8,* / 19,0 / 12,6.50%,5.70%,8-May,15 / 19,12-Nov,80.60%,80.00%,8-Aug,19 / 19,12-Dec,100.00%,100.00%,* / 8,14 / 19,12-Aug,45.20%,57.10%,63%,11%,3%,0.19,27%,63%,2%,0.45,0%,5%,44%,5%,13%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL,"Plantation, Broward County, Florida, United States","(26.1275862, -80.2331036, 0.0)",26.1275862,-80.2331036
129,FERTILITY CENTER & APPLIED GENETICS OF FLORIDA,,SARASOTA,FLORIDA,"Julio E. Pabon, MD",31,25,20,12,0.516,44.00%,10.00%,* / 12,0.516,40.00%,10.00%,* / 12,30,22,15,9,53.30%,50.00%,* / 15,* / 9,53.30%,45.50%,* / 15,* / 9,25,18,*,*,64.00%,18-Nov,* / *,* / *,64.00%,18-Oct,* / *,* / *,1.9,2.3,10,6,55.00%,15-Aug,* / 5,* / *,60.00%,15-Sep,* / 5,* / *,60.00%,15-Sep,* / 5,* / *,1.1,1.3,1.4,1.5,0.8,0.7,0.3,0.2,0,0,8,*,,,* / 8,0 / *,,,* / 8,0 / *,66,43,43,38,190,4.90%,14.80%,3.80%,* / 18,8.00%,6.30%,12.80%,19.00%,25.00%,14.40%,3.00%,2.30%,0.00%,0.00%,1.60%,0.00%,0 / 14,0 / 14,* / 14,6.30%,100.00%,14 / 14,14 / 14,14 / 14,100.00%,1,13 / 14,14 / 14,14-Dec,95.20%,1,13 / 14,14 / 14,14 / 14,98.40%,29%,8%,13%,0.06,11%,95%,3%,0.62,97%,5%,10%,10%,3%,Yes,Yes,Yes,Yes,Yes,No,No,0,FL,"Sarasota, Sarasota County, Florida, United States","(27.3364347, -82.5306527, 0.0)",27.3364347,-82.5306527
130,IVFMD/SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,SOUTH MIAMI,FLORIDA,"Juergen Eisermann, MD",288,200,200,118,0.573,33.50%,22.00%,9.30%,0.486,32.50%,20.50%,9.30%,277,177,164,102,59.60%,37.90%,26.80%,10.80%,50.50%,36.70%,25.00%,10.80%,305,150,105,41,54.10%,44.70%,41.90%,26.80%,45.90%,43.30%,39.00%,26.80%,1.7,3,4.5,10.7,58.80%,33.60%,24.60%,10.60%,62.60%,38.70%,28.70%,10.60%,62.60%,40.30%,28.70%,13.60%,1.1,1.2,1.3,1.3,1,0.8,0.5,0.4,*,64,81,*,* / *,51.60%,40.70%,* / *,* / *,50.00%,39.50%,* / *,669,440,425,373,1907,3.80%,6.60%,14.10%,26.80%,10.90%,5.50%,6.60%,13.60%,19.50%,10.10%,3.90%,5.90%,2.60%,0.50%,3.40%,0.90%,2.40%,1.80%,5.90%,2.40%,89.10%,86.70%,86.90%,73.90%,85.00%,0.845,86.70%,78.00%,64.90%,79.70%,0.384,52.60%,55.40%,38.30%,44.80%,43%,10%,15%,0.17,4%,31%,1%,0.36,46%,6%,47%,1%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL,"South Miami, Miami-Dade County, Florida, 33143, United States","(25.7076017, -80.2933846, 0.0)",25.7076017,-80.2933846
131,THE REPRODUCTIVE MEDICINE GROUP,,TAMPA,FLORIDA,"Timothy R. Yeko, MD",189,121,115,86,0.55,47.10%,27.80%,7.00%,0.524,45.50%,27.80%,7.00%,185,118,105,81,56.20%,48.30%,30.50%,7.40%,53.50%,46.60%,30.50%,7.40%,197,103,60,20,52.80%,55.30%,53.30%,30.00%,50.30%,53.40%,53.30%,30.00%,1.8,2.1,3.6,14.3,57.80%,48.90%,27.50%,10.30%,61.20%,52.30%,31.90%,10.30%,61.20%,52.30%,34.80%,10.30%,1.1,1.1,1.2,1.5,1.1,0.8,0.6,0.2,10,8,68,*,10-Jul,* / 8,55.90%,0 / *,10-Jul,* / 8,52.90%,0 / *,421,263,247,185,1116,10.20%,10.30%,12.90%,5.60%,10.10%,6.70%,10.40%,10.40%,12.20%,9.30%,1.90%,2.70%,1.60%,0.00%,1.70%,0.00%,2.20%,1.00%,3.20%,1.30%,98.70%,98.50%,91.30%,91.40%,96.00%,0.897,95.60%,87.50%,92.50%,91.20%,0.762,88.90%,80.80%,76.30%,80.20%,27%,4%,15%,0.14,1%,2%,<1%,0.13,45%,6%,3%,<1%,24%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL,"Tampa, Hillsborough County, Florida, United States","(27.9477595, -82.458444, 0.0)",27.9477595,-82.458444
132,SHADY GROVE FERTILITY TAMPA BAY,,TAMPA,FLORIDA,"Celso P Silva, MD",0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,0,14,0,* / *,,14-Aug,,* / *,,14-Aug,,94,73,46,59,272,7.50%,7.70%,21.90%,2.60%,9.10%,20.00%,17.40%,15.40%,13.80%,17.20%,1.10%,2.70%,2.20%,0.00%,1.50%,4.90%,0 / 18,* / 14,* / 19,5.40%,80.50%,15 / 18,14-Nov,19 / 19,84.80%,0.829,15 / 18,14-Oct,19-May,69.60%,0.585,18-Dec,14-Oct,19-Oct,60.90%,32%,6%,9%,0.04,3%,35%,1%,0.3,49%,6%,65%,3%,9%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL,"Tampa, Hillsborough County, Florida, United States","(27.9477595, -82.458444, 0.0)",27.9477595,-82.458444
133,F.I.R.S.T.,FLORIDA INSTITUTE FOR REPRODUCTIVE SCIENCES AND TECHNOLOGIES,WESTON,FLORIDA,"Minna R. Selub, MD",11,6,14,5,* / 11,* / 6,0 / 14,0 / 5,* / 11,* / 6,0 / 14,0 / 5,11,6,14,*,* / 11,* / 6,0 / 14,0 / *,* / 11,* / 6,0 / 14,0 / *,13,7,6,*,* / 13,* / 7,0 / 6,0 / *,* / 13,* / 7,0 / 6,0 / *,2.8,3,,,* / 9,* / *,0 / 5,0 / *,* / 9,* / *,0 / 5,0 / *,* / 9,* / *,0 / 5,0 / *,1,1,1.4,1,1.2,1,0.4,0.5,12,*,20,*,* / 12,0 / *,25.00%,0 / *,* / 12,0 / *,20.00%,0 / *,46,32,43,42,163,3.30%,* / 18,8.00%,14.80%,9.00%,17.80%,3.30%,22.00%,21.10%,16.90%,2.20%,6.30%,4.70%,0.00%,3.10%,3.40%,4.30%,7.40%,4.50%,5.00%,51.70%,60.90%,51.90%,54.50%,54.50%,0.759,69.60%,88.90%,77.30%,78.20%,0.345,39.10%,22.20%,18.20%,28.70%,37%,7%,24%,0.22,9%,11%,2%,0.61,20%,7%,69%,20%,0%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL,"Weston, Broward County, Florida, United States","(26.1003392, -80.399513, 0.0)",26.1003392,-80.399513
134,"ADVANCED REPRODUCTIVE SPECIALISTS, LLC",,WINTER PARK,FLORIDA,"Melissa M. Yates, MD",6,8,5,8,* / 6,8-Jun,* / 5,* / 8,* / 6,8-Jun,0 / 5,* / 8,6,8,*,6,* / 6,8-Jun,* / *,* / 6,* / 6,8-Jun,0 / *,* / 6,9,8,*,*,* / 9,8-Jun,* / *,* / *,* / 9,8-Jun,0 / *,* / *,2,1.3,5,8,* / 5,6-May,0 / *,0 / *,* / 5,6-May,0 / *,* / *,* / 5,6-May,0 / *,* / *,1,1,1,1.8,1.8,1.2,2,0.3,0,*,*,0,,* / *,0 / *,,,* / *,0 / *,,16,24,11,15,66,* / 10,* / 11,* / 5,0 / 6,21.90%,* / 14,10.00%,* / 10,15-May,16.90%,* / 16,4.20%,* / 11,0 / 15,7.60%,0 / 7,0 / 13,0 / 6,0 / 7,0.00%,7-May,13-Nov,6-May,7-May,78.80%,* / 7,* / 13,* / 6,* / 7,36.40%,* / 7,0 / 13,0 / 6,* / 7,6.10%,20%,15%,14%,0.21,3%,0%,0%,0.32,36%,14%,6%,0%,3%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,FL,"Winter Park, Orange County, Florida, 32789, United States","(28.5977707, -81.3510264, 0.0)",28.5977707,-81.3510264
